ID,proper,dist,absmag,ci,rarad,decrad,H_1,H_2,b,l,cos(l-33deg),sin(l/33deg),rad
57,,29.8686,5.894,0.863,0.002935397004,-1.216074996,,,-0.8224405761,2.039846582,0.1067459754,-0.6765469774,-1.41430583
169,,15.328,8.313,1.39,0.009346676277,-1.191724239,,,-0.8464970592,2.033265547,0.113287049,-0.6583450929,-1.400386728
171,,12.1699,5.374,0.69,0.00946108172,0.4726745358,,,-0.6002893488,1.926263923,0.2187491636,0.8051874592,1.305524123
263,,29.2056,9.713,1.473,0.0144718918,0.08180232781,,,-0.9790671375,1.785519296,0.3534691149,0.5217891229,0.9753876811
375,,28.9687,6.77,,0.02037835278,0.5981480705,,,-0.4793963567,1.966975593,0.1788532004,0.8729669098,1.368713179
400,,26.3922,5.713,0.755,0.02154763926,0.406131646,,,-0.6676199299,1.921597052,0.2233006098,0.7654683824,1.286955266
428,,11.2511,9.694,1.472,0.02259241787,0.7991263469,,,-0.2821266536,2.008511381,0.1378446361,0.9512968178,1.426896069
435,,15.8881,7.485,1.076,0.02311109966,-1.183902029,,,-0.8553998409,2.037656901,0.1089228877,-0.652014177,-1.405268852
442,,4.3399,10.373,1.462,0.02353139199,-0.6520089932,,,-1.334238338,1.451238567,0.640813729,-0.1799156922,-0.2737145117
472,,11.3071,7.933,1.41,0.02478294978,0.7995716487,,,-0.2819547381,2.010157897,0.1362136519,0.9515609196,1.428614646
517,,21.4777,4.32,0.687,0.02732042531,1.019913391,,,-0.0650250738,2.049488643,0.0971541923,0.9931659543,1.473283861
521,,25.7136,3.649,0.519,0.0275615651,-0.8565236643,,,-1.165783198,1.834208555,0.3075220339,-0.3749364713,-0.883860471
522,,16.7084,11.055,1.55,0.02756286907,-1.149134174,,,-0.8894385081,2.026306495,0.1201985017,-0.6252817701,-1.380882056
543,,13.6705,5.391,0.752,0.02885262851,0.5065207576,,,-0.5706941928,1.954723733,0.1908937841,0.8260510852,1.343691066
668,,27.4424,4.848,0.624,0.0360965287,-0.2587361918,,,-1.296485428,1.465009137,0.6301816894,0.2103269995,0.3221310198
676,Alpheratz,29.7442,-0.297,-0.038,0.03659716271,0.5077238185,,,-0.5707982403,1.962893842,0.1828676353,0.8272806999,1.353247901
685,,21.7486,9.043,1.46,0.03689060534,0.3041114012,,,-0.7703339202,1.910895404,0.2337190517,0.6978014854,1.247603792
721,,30.2847,6.164,0.885,0.03905755407,1.159887564,,,0.07229074271,2.077187908,0.06955222024,0.9949727991,1.501006216
736,,23.4467,9.88,1.493,0.03958338197,-0.47337062,,,-1.416059226,0.5873940989,0.999935088,-0.001756024478,-0.001756136667
744,Caph,16.7842,1.155,0.38,0.04002585283,1.032358404,,,-0.05378704787,2.057983999,0.08869562072,0.994618302,1.481856052
895,,25.5428,8.824,1.418,0.04833183689,-0.1009493146,,,-1.162477701,1.721875867,0.412248316,0.3617562025,0.7202555576
908,,18.7477,3.525,0.487,0.04914985714,-0.2699671345,,,-1.312916887,1.479693064,0.6187128598,0.2003564962,0.3131714246
914,,28.082,7.258,1.254,0.0495253735,1.018398151,,,-0.06832702811,2.06077495,0.08591532768,0.9939776867,1.484574754
948,,21.2766,3.6,0.459,0.05119535261,-0.6131886116,,,-1.377055809,1.389626194,0.6868674997,-0.1399280255,-0.2009690418
972,,26.3644,6.625,1.045,0.05265101756,0.4729659634,,,-0.6075339598,1.972143686,0.1737660732,0.8085674445,1.359109923
1004,,27.9408,9.439,1.48,0.0547963087,0.3789709743,,,-0.700371302,1.953432848,0.1921607705,0.7503533812,1.320090695
1029,,20.1898,5.694,0.775,0.05601857057,-1.010765713,,,-1.026431806,1.985109894,0.1609828719,-0.511120036,-1.265670992
1066,,20.0361,10.981,1.4,0.05781814342,1.209982341,,,0.1208061887,2.091587858,0.05518042766,0.9911993064,1.515183366
1081,,28.1849,8.52,1.444,0.05883998879,-0.6427821094,,,-1.36028645,1.515120777,0.5904978205,-0.168637746,-0.2781807936
1090,,19.5886,9.68,1.556,0.05948348278,1.407883488,,,0.3166796455,2.120590823,0.02620250417,0.9499483845,1.543220237
1240,,4.9868,13.001,1.75,0.06749275927,-0.2815880592,,,-1.332419916,1.512846379,0.5923318203,0.1902447336,0.3107723567
1276,,22.7842,9.792,1.647,0.06995910102,-0.8423107669,,,-1.189566192,1.887752246,0.2561566436,-0.3596488092,-0.9519020534
1291,,17.4978,5.375,0.749,0.07064905428,-1.393666029,,,-0.6529154494,2.1151853,0.03160576292,-0.7939191975,-1.531007539
1294,,16.3079,10.728,1.485,0.07087536714,0.3466304043,,,-0.7348616052,1.96547482,0.1803295727,0.7297606391,1.328541547
1320,,22.2025,10.648,1.53,0.07246496175,-0.8773597441,,,-1.15696367,1.921277959,0.2236116341,-0.391939014,-1.052330422
1346,,22.5989,5.07,0.655,0.07372384413,-0.9189358991,,,-1.117488224,1.952425056,0.1931496835,-0.4296951681,-1.148354977
1365,,15.0038,8.109,1.37,0.07463226027,0.7146825746,,,-0.3713678217,2.034271325,0.1122876895,0.9259387006,1.450116572
1383,,23.2019,9.712,1.505,0.07565023856,0.5093395473,,,-0.5748580328,2.003242171,0.1430616081,0.8306365941,1.40023836
1391,,15.186,5.753,0.589,0.07596162416,0.1549244551,,,-0.9241729357,1.919835619,0.225017218,0.5870437874,1.204763922
1441,,27.2183,4.336,0.599,0.07845723237,-0.2348452255,,,-1.297018842,1.640794586,0.4846838954,0.2364899048,0.4539418881
1459,,16.3372,9.814,1.479,0.07974617243,0.1780721458,,,-0.9022113823,1.933272438,0.2119050701,0.6057989834,1.234304714
1472,,3.5873,10.316,1.56,0.08015620544,0.7683454903,,,-0.318669781,2.045875021,0.1007500768,0.9448209637,1.464563723
1496,,23.245,4.638,0.674,0.08158433964,-0.1405513891,,,-1.211139997,1.767411552,0.3703490615,0.3269261608,0.7232033579
1529,,21.0837,8.28,1.318,0.08330763187,-0.1739195084,,,-1.243046533,1.737957539,0.3975440875,0.2953823054,0.6390174589
1543,,29.0107,10.147,,0.08415983507,-0.3474696608,,,-1.39469079,1.381440228,0.6927938377,0.1263405825,0.1803816991
1594,,24.7954,4.998,0.64,0.08729780428,0.6671939382,,,-0.4197119172,2.038214266,0.1083688215,0.9078282776,1.451987027
1595,,8.5866,4.561,0.576,0.08747810174,-1.132278698,,,-0.9114091173,2.059498053,0.08718743326,-0.6102996861,-1.42889644
1604,,23.1965,9.843,1.49,0.08787544392,-0.2977772409,,,-1.356557759,1.547704117,0.5638930089,0.1755781151,0.3018530487
1692,,17.1321,9.241,1.475,0.09305530379,-0.7984256359,,,-1.236189715,1.888372285,0.2555572428,-0.3174928288,-0.8930608274
1716,,19.305,10.782,1.537,0.09434556386,-0.8044678051,,,-1.230755384,1.896801122,0.247399313,-0.3231575804,-0.9174055113
1730,,17.9791,9.886,1.485,0.09570494548,-0.5481393722,,,-1.446336394,1.204745131,0.8087661716,-0.07300982905,-0.09002907271
1764,,28.8767,5.997,0.888,0.09770905405,-0.4718074241,,,-1.467553551,0.6074520823,0.999505424,0.00324090026,0.003242492561
1799,,20.8638,4.793,0.659,0.09975886941,-0.2130948946,,,-1.285405071,1.741381052,0.3944004061,0.2587114773,0.5805546639
1833,,22.168,7.011,1.075,0.1015173328,-0.5788825219,,,-1.4308971,1.410582506,0.6714871107,-0.1033297691,-0.1526843303
1838,,19.6773,10.4,1.516,0.1016900505,-0.8882656786,,,-1.151631508,1.972828645,0.1730914936,-0.4008543907,-1.163174747
1856,,19.2271,9.89,1.462,0.1025774204,1.347207284,,,0.2554602334,2.121400511,0.02539308653,0.9672351097,1.544549084
1931,,18.2249,6.617,0.94,0.1066022785,-0.471706158,,,-1.475437147,0.6153652524,0.9992252885,0.003747183631,0.003750071288
1949,,27.2331,5.095,0.681,0.1078076631,-0.9421985038,,,-1.099916733,2.009487132,0.1368781347,-0.4494003346,-1.275143458
2016,,7.4588,3.457,0.618,0.1120281101,-1.348340964,,,-0.6989316417,2.117566375,0.02922579008,-0.7652029986,-1.53262137
2069,,23.8095,2.046,0.175,0.1143320176,-0.7623568403,,,-1.275179997,1.898193171,0.2460502984,-0.2823731751,-0.8540284047
2076,Ankaa,25.974,0.327,1.083,0.114682903,-0.7383786688,,,-1.298028928,1.872220561,0.2711386187,-0.2593060021,-0.7630948841
2114,,16.4772,9.436,1.459,0.1172903922,1.224216121,,,0.1326265634,2.113832981,0.03295737696,0.9906795104,1.537541145
2420,,27.0856,8.466,1.359,0.1349162197,1.280562083,,,0.1883626682,2.123891849,0.02290247493,0.9820544867,1.547479571
2534,,24.9688,7.663,1.367,0.1407204309,-1.101150188,,,-0.9456167258,2.090449821,0.05631669401,-0.5843141068,-1.474712254
2547,,10.0654,10.256,1.52,0.1416499254,1.173483805,,,0.08137601142,2.118879615,0.02791308584,0.9963024425,1.542786975
2705,,25.4842,3.539,0.472,0.1503708685,-0.9140828601,,,-1.131952195,2.05586365,0.09080741196,-0.423137948,-1.359397988
2709,,22.9358,7.467,0.57,0.1505877272,-0.07928400184,,,-1.167779162,1.986021868,0.1600827259,0.3871376479,1.178703576
2736,,28.9017,5.715,0.87,0.1527819234,0.7451643906,,,-0.346551892,2.099273884,0.04750455733,0.9394876145,1.520275029
2738,,29.2398,6.22,0.854,0.1528737508,-1.111689694,,,-0.9356788502,2.101440673,0.04534010502,-0.5926619714,-1.494442581
2756,,21.254,3.563,0.567,0.1537983223,-0.0627070001,,,-1.151794353,1.999627574,0.146638082,0.4024510118,1.221384085
2784,,28.7853,5.154,0.726,0.1552059681,-0.6937036657,,,-1.349520439,1.940850026,0.2044935548,-0.2148366245,-0.8100588566
2935,,15.4012,4.632,0.715,0.1629422368,-0.4322703575,,,-1.506427458,1.350250822,0.7149450456,0.04497439481,0.06282330605
3002,,23.6967,8.607,1.424,0.1669202905,0.9133673251,,,-0.1790316501,2.117807409,0.02898485738,0.9836031609,1.541336812
3087,,11.0595,5.661,0.85,0.1717568099,0.3708907108,,,-0.7211438252,2.094849811,0.05192315694,0.7500379113,1.501679222
3137,,23.9866,9.51,1.476,0.174439264,-0.7723643629,,,-1.274552319,2.050562824,0.09608503687,-0.2905791718,-1.251447098
3163,,24.9563,3.904,0.564,0.1763634299,-1.0376786,,,-1.010324915,2.111186581,0.0356022205,-0.5312485409,-1.503880256
3178,,28.885,3.837,0.718,0.1769163532,-0.4154734648,,,-1.500235678,1.650593305,0.476089929,0.06199931781,0.1294973051
3196,,26.5041,4.903,0.62,0.1779859551,-0.1262327944,,,-1.217613201,2.044462455,0.1021553553,0.3440766884,1.282188697
3198,,17.328,6.166,0.937,0.1781112448,0.701398492,,,-0.3911391277,2.117463032,0.02932908847,0.9240776764,1.539068208
3254,,19.5274,9.127,1.432,0.1811152869,-0.5868767368,,,-1.458186915,1.903656492,0.2407512901,-0.1090663618,-0.4253666985
3355,,23.3046,8.533,1.46,0.1867659702,0.620443319,,,-0.4722643391,2.122270484,0.02452338408,0.8902726911,1.543257366
3371,,28.9268,9.243,1.44,0.1873858054,0.3954849427,,,-0.6971474636,2.115228744,0.03156234054,0.7662947577,1.529631344
3411,,20.5719,7.164,1.13,0.1900142665,0.5906991267,,,-0.5020666282,2.124439084,0.02235538003,0.8763708232,1.545292816
3413,Diphda,29.5334,-0.312,1.019,0.1901946422,-0.3139254704,,,-1.405512156,2.011026789,0.1353528073,0.1630185183,0.8778562194
3490,,22.0556,4.832,0.655,0.1948322972,-1.145800316,,,-0.9026881243,2.134298328,0.01249767339,-0.6194536624,-1.550623748
3497,,26.7451,3.084,0.35,0.1952149862,-0.3840795145,,,-1.47560248,1.966389753,0.1794295637,0.09350755449,0.4804146139
3527,,21.5657,6.361,0.983,0.1967054677,0.03116322368,,,-1.061576547,2.112129544,0.03465983957,0.4872032614,1.499775567
3575,,15.1584,4.897,0.635,0.1996613958,-0.8299387079,,,-1.21848492,2.119509669,0.02728327204,-0.3449397081,-1.491864885
3580,,15.8178,6.894,1.251,0.1998564448,-0.7314536107,,,-1.316890055,2.106034944,0.04075009609,-0.2509782544,-1.409835906
3637,,28.7604,5.276,0.822,0.2036610199,-0.07726680551,,,-1.170154419,2.121357923,0.02543566055,0.3898833154,1.505649486
3749,,23.7699,10.17,1.506,0.2104092661,-0.08963104044,,,-1.182619063,2.138371182,0.008425044829,0.3784884855,1.54854029
3759,96 G. Psc,7.4549,6.378,0.89,0.211110319,0.09216411608,,,-1.00083076,2.14218165,0.004614660303,0.5395973135,1.562244491
3802,,23.4522,3.219,0.502,0.2137089002,0.2956700102,,,-0.797329984,2.146930353,-0.0001340260545,0.6986195696,1.570988171
3805,,21.5889,9.089,1.426,0.2139212957,-0.8751938493,,,-1.173398734,2.147310098,-0.0005137713187,-0.3870199999,-1.572123832
3814,,5.9531,4.586,0.587,0.2142198755,1.009065377,,,-0.08393453504,2.147121781,-0.0003254540026,0.9964795117,1.571122931
3820,Van Maanen's Star,4.2626,14.222,0.554,0.2145225145,0.0940489788,,,-0.9989503426,2.148473141,-0.001676813033,0.5411845035,1.57389473
3842,,18.6881,5.792,0.769,0.2157473247,-0.4051342618,,,-1.498108614,2.173834432,-0.02703481134,0.07259717762,1.927281031
3866,,21.631,6.075,0.9,0.2171520462,1.2295755,,,0.1365773801,2.147992424,-0.001196097122,0.9906870898,1.572003667
3869,,28.7109,7.21,1.157,0.2173137085,-0.9528316182,,,-1.095753324,2.151486678,-0.004690334455,-0.4573716575,-1.581050941
3899,,15.753,4.183,0.514,0.2187183562,-0.1857785287,,,-1.278738993,2.16423045,-0.01743323995,0.2878792903,1.631279928
3927,,11.8455,11.642,,0.2205827769,0.4331334743,,,-0.6598417332,2.154805507,-0.008009094279,0.7900639169,1.580933253
3969,,21.5193,5.316,0.663,0.2233183298,-0.08795199976,,,-1.18084235,2.17223572,-0.02543664983,0.3800228461,1.637631162
3988,,21.3721,7.571,1.194,0.2241113817,0.3270616426,,,-0.7658740367,2.16059238,-0.01379561574,0.7207081872,1.589935739
4002,,18.5117,9.323,1.363,0.2246392122,1.017562331,,,-0.07540921471,2.152607427,-0.005811067817,0.9971412359,1.576623989
4012,,15.6348,7.98,1.29,0.2250011997,-0.3998560639,,,-1.492177556,2.280781716,-0.1335848628,0.07783390176,2.614024393
4057,,27.5103,9.603,1.465,0.2275737263,0.118734862,,,-0.9741121564,2.171472051,-0.02467321982,0.561731642,1.614691613
4139,,14.1723,6.393,0.936,0.2313344844,-0.5298281208,,,-1.516499799,2.432454914,-0.2817894112,-0.05207063619,-2.958868163
4142,,18.7441,3.436,0.54,0.2315644213,1.066814525,,,-0.02611634153,2.155468914,-0.008672478179,0.9996213939,1.579471872
4171,,23.9808,10.021,1.49,0.2329904849,-0.7197472261,,,-1.328322648,2.207523469,-0.06068982409,-0.2396620836,-1.818813435
4213,,26.8097,8.969,1.435,0.2351230293,0.8018840128,,,-0.2909668457,2.162410556,-0.01561359447,0.9578501802,1.587095548
4280,,29.0613,5.093,0.652,0.2399304546,0.4206290699,,,-0.6720121358,2.177498005,-0.03069685497,0.7822017781,1.610020363
4343,,30.4692,7.001,1.163,0.2435622617,-0.5179431399,,,-1.522795598,2.719922056,-0.5422609626,-0.04031521282,-3.067382667
4433,,24.7709,9.16,1.43,0.2480132795,-0.2022633359,,,-1.293377672,2.27013734,-0.1230285202,0.2717933314,1.995855683
4444,,24.4499,7.179,1.025,0.2489757432,1.205035574,,,0.1122354173,2.159522644,-0.01272597372,0.9936277454,1.583603213
4458,,29.1375,8.448,1.3,0.2498899369,-0.9003218005,,,-1.147386326,2.20167614,-0.05485226989,-0.410253135,-1.703711518
4463,,19.658,8.032,1.299,0.250095441,-1.086390602,,,-0.9617208628,2.176491495,-0.02969080427,-0.5718571959,-1.622669712
4559,,12.3533,11.311,1.558,0.2550968083,-0.486196922,,,-1.533090034,3.483336682,-0.972687314,-0.008750285968,-3.132596906
4835,,20.3832,8.514,1.365,0.2720627544,-0.1819307385,,,-1.26985739,2.341860357,-0.1938293508,0.2907956042,2.158717063
4839,,21.1416,6.534,1.008,0.2723129065,0.08833891518,,,-1.001826849,2.255479536,-0.1084693739,0.5355853437,1.770618502
4847,,8.2366,10.401,1.501,0.2727085093,1.251048805,,,0.1585422571,2.165598346,-0.01880091123,0.9872839433,1.589837089
4862,,9.9602,9.569,1.463,0.2733167287,1.088126302,,,-0.004139269396,2.1744958,-0.02769593123,0.9996078306,1.598496037
4897,,25.4972,5.638,0.756,0.2746700803,1.208240123,,,0.1158309726,2.168586135,-0.02178808402,0.9930632922,1.592733085
4918,,16.2285,10.309,1.59,0.2759169247,0.350773548,,,-0.7400329517,2.226064584,-0.07918527026,0.7361275562,1.677954314
4957,,29.8954,8.512,1.137,0.2778055762,0.7131086659,,,-0.3784021753,2.199032864,-0.05221278491,0.9279885939,1.627001536
5017,,24.0038,7.879,1.194,0.2810091783,-0.44689152,,,-1.503024136,3.25933674,-0.8968254181,0.02995843044,3.108200096
