,ID,proper,dist,absmag,ci,rarad,decrad,S_NAME,H_1,H_2
0,0,Sol,0.0,4.85,0.6559999999999999,0.0,0.0,,,
1,57,,29.8686,5.894,0.863,0.0029353970035569184,-1.2160749962487023,,,
2,169,,15.328,8.312999999999999,1.39,0.009346676277327735,-1.1917242392334713,,,
3,171,,12.1699,5.374,0.69,0.00946108171981008,0.4726745357978474,,,
4,263,,29.2056,9.713,1.473,0.014471891801732162,0.081802327805565,,,
5,375,,28.9687,6.77,,0.0203783527757158,0.598148070546085,,,
6,400,,26.3922,5.712999999999999,0.755,0.02154763926045213,0.4061316459620838,,,
7,428,,11.2511,9.693999999999999,1.472,0.02259241786664924,0.7991263468844938,,,
8,435,,15.8881,7.485,1.0759999999999998,0.023111099659917873,-1.183902028534665,,,
9,442,,4.3399,10.373,1.462,0.02353139199365567,-0.6520089932134262,,,
10,472,,11.3071,7.933,1.41,0.024782949778482527,0.7995716486504125,,,
11,517,,21.4777,4.32,0.687,0.027320425307301943,1.0199133908246714,,,
12,521,,25.7136,3.6489999999999996,0.519,0.02756156509675433,-0.85652366430261,,,
13,522,,16.7084,11.055,1.55,0.027562869070382117,-1.1491341737113687,,,
14,543,,13.6705,5.391,0.752,0.02885262850960665,0.5065207576037262,,,
15,668,,27.4424,4.848,0.624,0.03609652870452069,-0.2587361917552275,,,
16,676,Alpheratz,29.7442,-0.297,-0.038,0.03659716270801555,0.5077238184659449,,,
17,685,,21.7486,9.043,1.46,0.036890605342425116,0.3041114011634488,,,
18,721,,30.2847,6.164,0.885,0.03905755407366804,1.1598875638303314,,,
19,736,,23.4467,9.88,1.493,0.03958338197105357,-0.4733706200252075,,,
20,744,Caph,16.7842,1.155,0.38,0.04002585283032328,1.0323584043676326,,,
21,895,,25.5428,8.824,1.4180000000000001,0.048331836887476866,-0.10094931457642876,,,
22,908,,18.7477,3.525,0.48700000000000004,0.0491498571352085,-0.26996713445257625,,,
23,914,,28.082,7.257999999999999,1.254,0.04952537350108691,1.0183981508726323,,,
24,948,,21.2766,3.6,0.45899999999999996,0.05119535260651319,-0.6131886115888412,,,
25,972,,26.3644,6.625,1.045,0.05265101756093935,0.4729659633723087,,,
26,1004,,27.9408,9.439,1.48,0.05479630869678583,0.37897097430658505,,,
27,1029,,20.1898,5.694,0.775,0.05601857056937423,-1.0107657134402,,,
28,1066,,20.0361,10.981,1.4,0.057818143422495825,1.2099823406177737,,,
29,1081,,28.1849,8.52,1.444,0.05883998878872955,-0.64278210936185,,,
30,1090,,19.5886,9.68,1.556,0.05948348278149161,1.40788348789998,,,
31,1240,,4.9868,13.001,1.75,0.06749275926726685,-0.28158805924074753,,,
32,1276,,22.7842,9.792,1.6469999999999998,0.06995910101963651,-0.8423107668797037,,,
33,1291,,17.4978,5.375,0.7490000000000001,0.07064905428476348,-1.3936660293083614,,,
34,1294,,16.3079,10.728,1.485,0.07087536713679525,0.3466304042933575,,,
35,1320,,22.2025,10.648,1.53,0.07246496174989142,-0.8773597441362787,,,
36,1346,,22.5989,5.07,0.655,0.0737238441317985,-0.9189358991315388,,,
37,1365,,15.0038,8.109,1.37,0.07463226027043983,0.7146825746266849,,,
38,1383,,23.2019,9.712,1.505,0.0756502385619162,0.5093395472998324,,,
39,1391,,15.186,5.752999999999999,0.589,0.07596162416456169,0.154924455073005,,,
40,1441,,27.2183,4.336,0.599,0.07845723236680435,-0.2348452254527175,,,
41,1459,,16.3372,9.814,1.479,0.07974617242622192,0.17807214579534247,,,
42,1472,,3.5873,10.315999999999999,1.56,0.08015620544457767,0.7683454902950787,,,
43,1496,,23.245,4.638,0.674,0.08158433963715933,-0.14055138913661125,,,
44,1529,,21.0837,8.28,1.318,0.08330763187043738,-0.17391950835308,,,
45,1543,,29.0107,10.147,,0.08415983506741813,-0.3474696607659325,,,
46,1594,,24.7954,4.998,0.64,0.08729780427754782,0.6671939382053537,,,
47,1595,,8.5866,4.561,0.5760000000000001,0.08747810173923233,-1.1322786980338138,,,
48,1604,,23.1965,9.843,1.49,0.08787544391961906,-0.297777240880305,,,
49,1692,,17.1321,9.241,1.475,0.09305530378594057,-0.7984256359409151,,,
50,1716,,19.305,10.782,1.537,0.09434556385650883,-0.8044678051171862,,,
51,1730,,17.9791,9.886000000000001,1.485,0.09570494547840157,-0.5481393722088874,,,
52,1764,,28.8767,5.997000000000001,0.888,0.09770905404863968,-0.4718074241156338,,,
53,1799,,20.8638,4.793,0.659,0.09975886940536036,-0.21309489463864625,,,
54,1833,,22.168,7.011,1.075,0.10151733280237016,-0.5788825218996612,,,
55,1838,,19.6773,10.4,1.516,0.10169005048231433,-0.8882656786032851,,,
56,1856,,19.2271,9.89,1.462,0.1025774203785814,1.34720728407392,,,
57,1931,,18.2249,6.617000000000001,0.94,0.10660227848269828,-0.47170615801315,,,
58,1949,,27.2331,5.095,0.6809999999999999,0.10780766314923307,-0.9421985038240251,,,
59,2016,,7.4588,3.457,0.618,0.11202811014799156,-1.3483409638363189,,,
60,2069,,23.8095,2.046,0.175,0.11433201758585475,-0.7623568403121038,,,
61,2076,Ankaa,25.974,0.327,1.083,0.11468290295782504,-0.7383786688321162,,,
62,2114,,16.4772,9.436,1.459,0.1172903922004358,1.224216121390204,,,
63,2420,,27.0856,8.466000000000001,1.359,0.1349162196590598,1.2805620829176063,,,
64,2534,,24.9688,7.662999999999999,1.367,0.14072043093128364,-1.1011501880261412,,,
65,2547,,10.0654,10.255999999999998,1.52,0.14164992543115135,1.1734838049265126,,,
66,2705,,25.4842,3.5389999999999997,0.47200000000000003,0.15037086854868767,-0.9140828600860637,,,
67,2709,,22.9358,7.4670000000000005,0.57,0.15058772718512414,-0.07928400184202875,,,
68,2736,,28.9017,5.715,0.87,0.15278192342098812,0.7451643906137937,,,
69,2738,,29.2398,6.22,0.8540000000000001,0.15287375079995394,-1.1116896937656364,,,
70,2756,,21.254,3.563,0.5670000000000001,0.15379832227361276,-0.06270700010105375,,,
71,2784,,28.7853,5.154,0.726,0.15520596810097734,-0.6937036656775876,,,
72,2935,,15.4012,4.632,0.715,0.16294223676011085,-0.4322703575235275,,,
73,3002,,23.6967,8.607000000000001,1.4240000000000002,0.1669202905282663,0.9133673250823938,,,
74,3087,,11.0595,5.6610000000000005,0.85,0.1717568098586768,0.3708907108264425,,,
75,3137,,23.9866,9.51,1.476,0.17443926395393505,-0.772364362929955,,,
76,3163,,24.9563,3.904,0.564,0.17636342994650514,-1.0376785999854974,,,
77,3178,,28.885,3.8369999999999997,0.718,0.17691635324651242,-0.4154734647724575,,,
78,3196,,26.5041,4.9030000000000005,0.62,0.1779859551495661,-0.1262327943574375,,,
79,3198,,17.328,6.166,0.937,0.17811124479557822,0.7013984920370875,,,
80,3254,,19.5274,9.127,1.432,0.18111528690867149,-0.5868767368465413,,,
81,3355,,23.3046,8.533,1.46,0.18676597019300592,0.6204433189549625,,,
82,3371,,28.9268,9.243,1.44,0.18738580535574964,0.3954849426720825,,,
83,3411,,20.5719,7.164,1.13,0.19001426649699915,0.590699126721195,,,
84,3413,Diphda,29.5334,-0.312,1.0190000000000001,0.19019464223046093,-0.31392547040265245,,,
85,3490,,22.0556,4.832,0.655,0.1948322971554379,-1.1458003156482588,,,
86,3497,,26.7451,3.0839999999999996,0.35,0.195214986231511,-0.3840795145198663,,,
87,3527,,21.5657,6.361000000000001,0.983,0.1967054676644968,0.03116322368460875,,,
88,3575,,15.1584,4.897,0.635,0.19966139580340905,-0.8299387078749999,,,
89,3580,,15.8178,6.894,1.251,0.1998564448088179,-0.7314536106937475,,,
90,3637,,28.7604,5.276,0.8220000000000001,0.20366101994244548,-0.07726680551059126,,,
91,3749,,23.7699,10.17,1.506,0.2104092661380824,-0.08963104043903,,,
92,3759,96 G. Psc,7.4549,6.377999999999999,0.89,0.21111031896421076,0.09216411608150624,,,
93,3802,,23.4522,3.219,0.502,0.21370890015861088,0.2956700101593188,,,
94,3805,,21.5889,9.089,1.426,0.2139212956668286,-0.8751938492877388,,,
95,3814,,5.9531,4.586,0.5870000000000001,0.2142198755075235,1.0090653769770737,,,
96,3820,Van Maanen's Star,4.2626,14.222000000000001,0.5539999999999999,0.2145225144570208,0.09404897880013376,,,
97,3842,,18.6881,5.792000000000001,0.769,0.21574732472936287,-0.4051342618185288,,,
98,3866,,21.631,6.075,0.9,0.21715204623559875,1.2295754995985675,,,
99,3869,,28.7109,7.21,1.157,0.21731370848854728,-0.9528316181678336,,,
100,3899,,15.753,4.183,0.514,0.2187183562296591,-0.18577852869824624,,,
101,3927,,11.8455,11.642000000000001,,0.22058277691076628,0.4331334743392375,,,
102,3969,,21.5193,5.316,0.6629999999999999,0.22331832980734995,-0.08795199975825999,,,
103,3988,,21.3721,7.571000000000001,1.194,0.22411138168360825,0.3270616426014225,,,
104,4002,,18.5117,9.323,1.3630000000000002,0.2246392122283836,1.0175623306448298,,,
105,4012,,15.6348,7.98,1.29,0.22500119974207755,-0.3998560639187263,,,
106,4057,,27.5103,9.603,1.465,0.22757372630763495,0.11873486195130124,,,
107,4139,,14.1723,6.393,0.9359999999999999,0.2313344843527687,-0.5298281207923237,,,
108,4142,,18.7441,3.4360000000000004,0.54,0.231564421269062,1.0668145247255576,,,
109,4171,,23.9808,10.021,1.49,0.23299048489374374,-0.7197472261213574,,,
110,4213,,26.8097,8.969,1.435,0.23512302931754364,0.8018840128479712,,,
111,4280,,29.0613,5.093,0.652,0.2399304545607755,0.4206290699108988,,,
112,4343,,30.4692,7.001,1.163,0.2435622617380237,-0.5179431398948162,,,
113,4433,,24.7709,9.16,1.43,0.24801327952349544,-0.2022633359062,,,
114,4444,,24.4499,7.178999999999999,1.025,0.248975743185401,1.205035573895631,,,
115,4458,,29.1375,8.448,1.3,0.2498899369275629,-0.9003218005128499,,,
116,4463,,19.658,8.032,1.2990000000000002,0.250095440989561,-1.0863906019952323,,,
117,4559,,12.3533,11.311,1.558,0.2550968083036268,-0.4861969219684313,,,
118,4835,,20.3832,8.514,1.365,0.27206275441992106,-0.18193073851632874,,,
119,4839,,21.1416,6.534,1.008,0.2723129064796325,0.0883389151750875,,,
120,4847,,8.2366,10.401,1.501,0.27270850925947576,1.2510488047040151,,,
121,4862,,9.9602,9.568999999999999,1.463,0.2733167287159652,1.088126301940255,,,
122,4897,,25.4972,5.638,0.7559999999999999,0.2746700802575953,1.2082401225427837,,,
123,4918,,16.2285,10.309000000000001,1.59,0.2759169247117533,0.3507735480464175,,,
124,4957,,29.8954,8.512,1.137,0.2778055761744364,0.7131086658727049,,,
125,5017,,24.0038,7.879,1.194,0.2810091783161208,-0.44689152003522503,,,
126,5031,,29.2826,7.687,1.28,0.2816110942153073,0.4558830352619438,,,
127,5100,,26.434,6.5489999999999995,1.197,0.28579136091987306,0.26860724423578874,,,
128,5204,,22.1092,9.727,1.473,0.29099809370487073,0.26656060401494874,,,
129,5213,,29.274,6.507999999999999,0.925,0.2914162436306835,-0.8899337123658337,,,
130,5236,,14.9321,8.129,1.2890000000000001,0.29285513992148265,1.1159866772397913,,,
131,5249,,27.9096,8.431000000000001,1.396,0.2933308972853336,-0.5660050297386212,,,
132,5275,,21.0526,6.792999999999999,1.122,0.2950964030922036,0.40063991407320493,,,
133,5325,,7.554,5.779,0.7040000000000001,0.29779075758043,0.9585407670521964,,,
134,5358,,28.0584,8.32,1.256,0.2996409791869252,0.3009401534756575,,,
135,5400,,22.5785,10.612,1.53,0.3019770885147105,-0.430906900554595,,,
136,5485,,8.194,10.232999999999999,1.568,0.3070712043298913,-1.1771365409237124,,,
137,5509,,27.0783,5.497000000000001,0.73,0.308482442346253,0.7493018068816525,,,
138,5632,,3.6899,14.265,1.85,0.3163851484663366,-0.2966879456065725,,,
139,5651,,22.6552,7.774,1.2670000000000001,0.31751344788170105,-0.4404439184254925,,,
140,5751,,29.274,7.4879999999999995,1.22,0.32280341823243697,0.2878836482654175,,,
141,5786,,23.3863,3.295,0.44799999999999995,0.324634083229439,-0.13827939472412748,,,
142,5799,,16.5618,10.064,1.6369999999999998,0.32536973825821625,-0.9414674982498449,,,
143,5829,,21.645,5.542999999999999,1.0,0.32729019197384257,-1.2011165621100877,,,
144,5849,,15.1149,4.073,0.5710000000000001,0.3280459256128029,-0.7946774539363888,,,
145,5884,,20.9556,2.6430000000000002,0.48,0.33057518677831865,-1.2021117062668614,,,
146,5925,,25.9134,5.482,0.753,0.33337196507622,-0.2111324725617125,,,
147,5931,,23.1965,4.763,0.594,0.3337416387363919,0.7494342515777037,,,
148,5944,,23.6351,8.232000000000001,1.3530000000000002,0.33447280457448403,0.4421176363776,,,
149,5972,,29.8775,4.143,0.563,0.3359036074837314,-0.039778845662419994,,,
150,5993,,16.2127,10.261,1.51,0.3370955027836596,-0.6233600707674987,,,
151,5995,,23.3754,8.956,1.4469999999999998,0.3371190803086909,-0.23148761306432125,,,
152,6024,,30.1296,7.355,1.008,0.338449842422428,-0.27058398779293874,,,
153,6056,,20.4792,9.463,1.4780000000000002,0.3398483732769438,0.09553825809958748,,,
154,6084,,22.1239,10.056000000000001,1.44,0.3415032862567653,-0.2251446179317625,,,
155,6117,,26.4901,5.885,0.78,0.34332804444437937,-0.01514189251086,,,
156,6275,,20.0924,8.845,1.34,0.3520396011690727,1.0005607958830276,,,
157,6326,,28.4172,6.192,0.9159999999999999,0.3554787812049245,0.5470110353454438,,,
158,6328,,25.9471,8.63,1.42,0.3555644063525427,0.42464843834307625,,,
159,6330,,23.872,7.781000000000001,1.2919999999999998,0.35561947374504155,1.3989127642462251,,,
160,6337,,16.7056,9.036,1.383,0.3559270895905073,-0.7270413802784587,,,
161,6351,,22.3664,9.732000000000001,1.6269999999999998,0.3567320035348381,-0.8153197197873062,,,
162,6365,,16.8095,6.042000000000001,0.826,0.3577330085887567,1.3388470305897702,,,
163,6376,,29.5596,6.407,0.97,0.3583464212714389,-0.4693731907347963,,,
164,6391,,25.7865,4.9030000000000005,0.627,0.3590911765202323,0.3260746994963025,,,
165,6400,,24.5942,8.346,1.295,0.359467097765062,-0.57969767921758,,,
166,6442,,30.5064,5.428,0.9,0.3623472410142336,-0.2263005924963937,,,
167,6612,,25.1446,7.797999999999999,1.42,0.3710123462914934,-0.5733602200260225,,,
168,6672,Ruchbah,30.4785,0.24,0.16,0.3744295872766107,1.0513040155749624,,,
169,6692,,25.2143,3.342,0.395,0.3763557431119191,0.3346205559993537,,,
170,6749,,29.3513,5.622000000000001,0.738,0.3797215856062591,-0.00275043027177,,,
171,6799,,28.6205,2.5469999999999997,0.42100000000000004,0.3824666059431344,0.7924961915147437,,,
172,6903,,23.7361,5.8629999999999995,0.966,0.3886903382489514,0.37914076607854624,,,
173,7064,,28.9771,3.51,0.489,0.3980513321872301,1.2263486829890262,,,
174,7156,,17.8635,9.9,1.492,0.4033331689434446,-0.3823165706282737,,,
175,7221,,19.0512,5.57,0.7659999999999999,0.4069375776266296,-0.421985038180925,,,
176,7262,,29.5159,3.4,0.639,0.4089041859160621,-0.122615327903345,,,
177,7325,,20.6569,4.945,0.6859999999999999,0.4126000488210467,1.2033720025587162,,,
178,7332,,30.525,6.617000000000001,0.961,0.4130639188889448,1.4459855160547412,,,
179,7358,,21.6263,5.435,0.909,0.41458887255761945,-0.522033785960795,,,
180,7499,,13.4916,3.45,0.536,0.4223606833740253,0.7226615840997149,,,
181,7540,,22.4871,8.63,1.416,0.4247453173939556,-0.8586263275888413,,,
182,7562,,23.9521,5.763,0.797,0.4258214596004833,-0.11799165082358752,,,
183,7571,,25.6279,4.726,0.648,0.4262151492914764,0.2108075335556837,,,
184,7587,,27.3823,3.693,0.62,0.4272457921123991,-1.44818686476152,,,
185,7631,,20.2265,10.07,1.496,0.42978284880144996,0.011372167203405002,,,
186,7719,,21.3721,4.9510000000000005,0.69,0.4345842657639441,0.8007181556669412,,,
187,7733,,26.3435,7.707000000000001,1.148,0.4352784170719291,1.286464496762895,,,
188,7736,,7.8223,6.292999999999999,0.88,0.4354167347044756,-0.9808122092628588,,,
189,7750,,12.1981,8.249,,0.43604568522240417,0.2663260372306025,,,
190,7903,,12.7389,4.434,0.618,0.4441119220142845,0.7437435933971476,,,
191,7963,,17.4338,4.313,0.551,0.4471859620672712,-0.9379544957659326,,,
192,7966,,7.5324,5.855,0.836,0.4472241507079476,0.35375213588112003,,,
193,7999,,23.3536,9.347999999999999,1.381,0.4491059607515853,-0.7365890204608637,,,
194,8025,,29.0529,5.914,0.853,0.4504640785430869,-0.3773361585771575,,,
195,8028,,21.173,8.771,1.46,0.4505808198069378,0.4859363740709875,,,
196,8036,,11.4129,10.642999999999999,1.525,0.45088989115827205,0.07542719035502875,,,
197,8055,,13.5777,7.756,1.202,0.4524050904125474,1.1139284804686225,,,
198,8087,,3.6502,5.678,0.727,0.4540854403344977,-0.27816150132824125,tau Cet,1.0,
199,8175,,25.5297,9.385,1.33,0.4594661845844377,0.8121977469215451,,,
200,8180,,29.5508,9.037,1.412,0.4596961822728618,-0.6973581010113149,,,
201,8194,,28.1136,3.045,0.395,0.4609667223325053,-0.43725052844623374,,,
202,8260,,24.0211,7.007000000000001,1.044,0.4653279043532258,0.21662627850277752,,,
203,8341,,29.4204,8.047,0.214,0.4699068723025142,0.4970989926197275,,,
204,8347,,10.0675,5.615,0.804,0.4701047072577421,1.1144363791759386,,,
205,8367,,20.3832,10.694,1.695,0.4715265245976774,0.37012762652715625,,,
206,8417,,27.8552,3.555,0.5720000000000001,0.4742627881138161,0.5705517929429412,,,
207,8470,,22.5632,4.953,0.654,0.477300874464394,-0.18681236223975503,,,
208,8481,,23.1857,2.8339999999999996,0.33299999999999996,0.4781550724837594,-0.18651304553048495,,,
209,8498,,27.3523,4.185,0.523,0.4791556950845138,-0.6702552415265963,,,
210,8526,,25.6148,6.018,0.758,0.4805388110485098,0.5142538378307863,,,
211,8674,,16.5673,10.704,1.475,0.4878690168147067,-0.18855606027134625,,,
212,8686,,30.5623,6.524,0.888,0.4885220834710957,-1.4140554879607174,,,
213,8692,,15.4967,11.489,0.17,0.4889073601780724,0.8203370748947575,,,
214,8750,,11.0059,8.682,1.4240000000000002,0.492265126914521,-0.3915621143611625,,,
215,8777,,19.4175,1.979,0.488,0.4934123459027885,0.5162479585904625,,,
216,8848,,22.5327,6.706,1.01,0.4978663920156166,1.154992496545165,,,
217,8884,Sheratan,17.9856,1.365,0.165,0.5002117420096996,0.36316872157376495,,,
218,8989,,17.8508,2.432,0.8440000000000001,0.5059440330162774,-0.900745155623165,,,
219,9025,,19.9362,7.112,1.143,0.5084893111245096,-1.0511531286398987,,,
220,9066,,26.8673,3.9539999999999997,0.48700000000000004,0.5104985927861664,-0.9034913978503112,,,
221,9217,,22.0119,1.147,0.29,0.5182191582610731,-1.0745967597182264,,,
222,9250,,24.9813,5.152,0.773,0.5197157925624863,0.5796182654985338,,,
223,9272,,12.2474,11.77,1.54,0.5209329955654222,1.0213864508675825,,,
224,9582,,28.7853,8.863999999999999,1.4269999999999998,0.5388876296069591,-0.08572164551871,,,
225,9694,,25.6016,5.749,0.8320000000000001,0.5453663741808163,-0.27363453031704005,,,
226,9702,,9.1424,10.385,1.514,0.5457651131997475,-0.3074333207430063,,,
227,9727,,23.2396,9.049,1.4,0.5471337710554205,-0.489909223164305,,,
228,9764,,9.2756,12.312999999999999,1.719,0.5489497742132576,-0.5266818914866037,,,
229,9766,,28.0348,7.5920000000000005,1.17,0.5490012195531027,0.5372799028357175,,,
230,9807,,22.7739,5.103,0.662,0.5519780692230252,0.4247082997208625,,,
231,9861,Hamal,20.1776,0.486,1.151,0.554898130994913,0.4094965332621075,,,
232,10008,,27.1518,4.401,0.551,0.5634413507582021,1.2488180934569841,,,
233,10014,,29.9043,8.511000000000001,1.386,0.5636605537883854,-0.2851796772411937,,,
234,10049,,19.7316,10.304,1.517,0.5654957834812133,-0.25061317168255504,,,
235,10116,,10.7828,5.956,0.812,0.5690662407780313,-0.8870413329623525,,,
236,10168,,20.7426,8.566,1.43,0.571758106421355,-0.6225723175298612,,,
237,10255,,10.4145,9.952,1.431,0.5774851023025136,0.062406338157685,,,
238,10277,,28.6451,6.075,0.87,0.5790834513886539,-0.93800784573129,,,
239,10282,,28.8684,2.928,0.457,0.5794550282929443,0.370201665654265,,,
240,10288,,26.8528,8.955,1.455,0.5796673000398208,-0.3086915448907,,,
241,10297,,26.8456,5.046,0.672,0.579957980152773,0.7097964294221912,,,
242,10313,,22.2866,8.1,1.3459999999999999,0.5812055323040329,-0.3699479168036525,,,
243,10315,,26.1849,5.26,0.7,0.5812909890957605,0.7069907888072088,,,
244,10346,,28.9855,9.519,1.456,0.5830458162550715,-0.6144724112624538,,,
245,10371,,12.5502,9.817,1.479,0.5842160052033155,-0.5592252833414187,,,
246,10392,,22.7169,6.768,1.055,0.5856721598245755,-0.0634462700945925,,,
247,10481,,26.9833,4.645,0.69,0.5908221028696923,0.42361402210267,,,
248,10504,,20.9205,8.307,0.461,0.5920160448554477,1.1811872725140702,,,
249,10508,,18.5805,5.785,0.92,0.5921073758554476,1.1811041575140702,,,
250,10518,,23.1481,6.117000000000001,1.033,0.5924042466443973,-0.31831618674519624,,,
251,10593,,14.3246,11.24,1.5830000000000002,0.5964030061923398,-0.5408494234931562,,,
252,10620,,10.784,4.676,0.607,0.5979999336747333,0.5973255168107513,,,
253,10654,,27.3373,5.566,0.622,0.5995742146404903,0.5016388353871075,,,
254,10663,,22.9305,9.677999999999999,1.446,0.6002453263754032,-0.94228615230995,,,
255,10686,,28.6205,9.337,1.52,0.6019009364745286,-0.6216309108441824,,,
256,10697,,24.3546,3.667,0.588,0.6022432927339079,0.030679430051490004,,,
257,10772,,12.6695,5.816,0.7240000000000001,0.6063941962095597,-0.4528376693537037,,,
258,10786,,14.0726,10.847999999999999,1.51,0.6072201242392293,-0.6418986487658412,,,
259,10899,,25.3485,6.65,1.031,0.613984415229727,-0.6812671088575563,,,
260,10934,,27.2702,8.132,1.3219999999999998,0.6161339328066271,0.9348130454297864,,,
261,10974,,26.3227,6.968,1.079,0.6184586123101419,-0.120070470579985,,,
262,11003,,29.656,3.069,0.364,0.6197031516842633,-0.18810344587182626,,,
263,11022,,11.9403,9.015,1.466,0.6206523199765525,0.83566414417853,,,
264,11046,,21.9635,3.4810000000000003,0.608,0.6219579713990255,-0.41567330522905,,,
265,11125,,28.6862,8.802,,0.6258923891418143,0.396804249587835,,,
266,11140,,24.8016,9.088,0.303,0.6271930570200995,0.86102458133065,,,
267,11412,,20.6186,9.318999999999999,1.449,0.6436133539689137,-0.539479240047515,,,
268,11425,,17.1438,7.519,1.3969999999999998,0.6447436669462904,0.07735565508728874,,,
269,11515,,26.1712,7.481,1.33,0.649149061067497,0.5630343067065425,,,
270,11530,,26.0078,9.924,1.5,0.6497484698373692,0.21099559072125,,,
271,11538,,19.5465,7.325,1.12,0.6502565392548232,-0.3487022089014825,,,
272,11624,,26.6525,10.661,-0.055999999999999994,0.65570738726817,0.09187554243855624,,,
273,11731,,27.8862,6.443,0.935,0.6619505172911715,-0.266572118816275,,,
274,11755,,26.6951,2.608,0.45399999999999996,0.6636054522767348,-0.26606980312857004,,,
275,11814,,29.9401,3.6189999999999998,0.5720000000000001,0.6671623463198697,0.2624024719179525,,,
276,11823,,22.7273,7.057,1.045,0.6674965235708762,-1.2686349593283412,,,
277,11933,,11.6036,8.567,1.39,0.6735918697630972,-0.764390547984505,,,
278,12066,,13.5943,10.013,1.47,0.6801910697479605,0.352903552185,,,
279,12077,,21.2721,6.7010000000000005,1.069,0.6807345438637866,-0.4105245878275987,,,
280,12082,268 G. Cet,7.1803,6.5089999999999995,0.9179999999999999,0.681033735135593,0.1201985615767425,,,
281,12126,,24.1313,6.187,0.9440000000000001,0.6837154096529511,-0.0550850310212825,,,
282,12154,,25.7798,3.7239999999999998,0.653,0.6849406609647299,-0.6034995451175325,,,
283,12229,,15.0105,11.478,,0.6888774760019309,-1.0254346830533336,,,
284,12319,,16.8435,8.347999999999999,1.396,0.6938544446941041,-1.0155572863650963,,,
285,12357,,21.4823,3.17,0.447,0.6962287128701043,-0.20720820955306998,,,
286,12411,,21.7581,4.102,0.524,0.6990351187852687,-0.16498379212399375,,,
287,12460,,23.3046,7.672999999999999,1.185,0.7012494113543607,0.02092083263018625,,,
288,12497,,22.5887,3.951,0.511,0.7035130246968818,-0.01214143537598375,,,
289,12590,,24.1896,2.992,0.5820000000000001,0.7079432876270416,0.7015166580399925,,,
290,12620,,17.1674,4.226,0.561,0.709283853226091,-0.8866323868493963,,,
291,12671,,9.9671,12.167,,0.7122987798629565,-0.9445269597259988,,,
292,12673,,24.4081,1.5319999999999998,0.09300000000000001,0.7125335102641163,0.05647568647271125,,,
293,12676,,18.8822,6.85,1.074,0.7127419032217209,0.33910428247145,,,
294,12690,,28.3607,6.776,1.04,0.7137084045673022,-0.8107900670003549,,,
295,12716,,27.465,9.726,1.46,0.7150914189070852,-0.154101628581565,,,
296,12744,,11.1272,3.8680000000000003,0.514,0.7164491349524502,0.8591984967891138,,,
297,12748,,7.5098,11.172,1.53,0.7167089205785717,0.4454666072090875,,,
298,12795,,25.7732,2.214,0.311,0.7196966752527623,0.1765251463956175,,,
299,12810,,14.2207,3.705,0.48100000000000004,0.7203973354467393,-0.32415236695897376,,,
300,12853,,23.084,8.982999999999999,,0.7228265869339147,0.7845037884439336,,,
301,12893,,25.9134,5.822,0.84,0.7254164202123714,0.44767518506256376,,,
302,12896,,16.0102,7.568,1.2690000000000001,0.7255678624036044,0.20551670730650748,,,
303,12928,,23.015,8.44,1.389,0.7274292964117403,-0.4029373747943138,,,
304,13032,,27.4273,8.879,1.462,0.732739087385447,0.5011238520188149,,,
305,13046,,29.6209,8.422,1.4169999999999998,0.7335133495601545,-0.20530596418011,,,
306,13048,,24.6366,5.602,0.82,0.7337018004076243,0.472436751692085,,,
307,13136,,29.3858,5.949,0.845,0.7388663302060366,0.9254268199902876,,,
308,13185,,12.955,10.158,1.51,0.7424759661756785,-0.9274499952284351,,,
309,13224,,22.7324,7.087000000000001,1.194,0.7444472572690339,0.2741897283260237,,,
310,13308,,27.7085,7.797000000000001,1.19,0.7492449989130923,0.18579049623899874,,,
311,13311,,30.5904,7.392,1.216,0.7493608823917818,-0.14432686197185998,,,
312,13341,,14.6049,8.777999999999999,1.315,0.7510016186678564,0.6002074795266651,,,
313,13354,,24.4918,6.145,0.8270000000000001,0.7519197425634293,-0.58382373033029,,,
314,13356,,11.6455,11.029000000000002,1.5490000000000002,0.7520515385940303,-1.1114225280415726,,,
315,13360,,30.525,4.357,0.574,0.7521412495488627,1.106709660675365,,,
